title,genre,rating,voting,duration,storyline
Mean Girls,"comedy, musical",5.5,38K,1h 52m,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Meet Me in Rome,reality-tv,5.2,694,1h 25m,"3 women arrive in Rome ready to risk it all for love. They become the leading ladies in their very own rom-com. Handsome suitors and steamy romance await. Will our ladies find the love they're looking for, or leave as single as they came?"
Meeting with Pol Pot,history,6.4,457,1h 52m,"Three French journalists travel to Cambodia in 1978 after receiving an invitation from the Khmer Rouge regime, embarking on a perilous adventure."
Megalopolis,"fantasy, sci-fi",4.7,38K,2h 18m,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
Megamind vs. The Doom Syndicate,"family, animation",2.5,5.8K,1h 23m,"Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon."
Meiyazhagan,family,8.4,16K,2h 57m,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
Memoir of a Snail,animation,7.8,19K,1h 35m,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
Midas Man,"music, biography",6.4,1.7K,1h 52m,"On Thursday 9 November 1961, a man named Brian descended the stairs to a cellar in Liverpool and changed the world forever."
Minnesota v. We the People,news,9.4,7,,"The lives of 5 Minnesota first responders killed on duty within 13 months. It explores events surrounding their deaths and interviews with family, colleagues, and experts, aiming to present an objective perspective on policing challenges."
Misericordia,crime,6.8,2.7K,1h 44m,"Returning to Saint-Martial for his late boss's funeral, Jérémie's stay with widow Martine becomes entangled in a disappearance, a threatening neighbor, and an abbot's shady intentions."
Missing Child Videotape,mystery,5.7,120,1h 44m,"A videotape arrives from Keita's mother, unveiling his brother's disappearance. Haunted by this memory, Keita ventures to the ruins of a mysterious mountain to confront the incident."
Moana 2,"comedy, musical, fantasy, family, adventure, animation",6.5,110K,1h 40m,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
Mon Potongo,"romance, drama",4.7,694,2h 29m,"A Hindu girl and Muslim boy, living on the streets, dream of wealth and power. Drawn to a throne-like armchair, they vow to rise together but are tempted by society's dark side. Will ambition destroy their love?"
Mond,sport,7.0,331,1h 32m,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?"
Monkey Man,"action, crime",6.8,94K,2h 1m,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Monsieur Aznavour,"music, biography",7.3,2.9K,2h 13m,"Follows the beginnings of the iconic French-Armenian singer, songwriter and actor, Charles Aznavour, from zero to fame."
Monster Summer,"fantasy, mystery, adventure",5.7,4.5K,1h 37m,"When a mysterious force begins to disrupt their big summer fun, a group of friends team up with a retired police detective to embark on an adventure to save their island."
Mr. & Mrs. Mahi,sport,5.9,16K,2h 19m,A married couple who share a love for cricket begin training in the game due to her natural talent.
Mr. K,mystery,5.5,1.1K,1h 34m,"After spending the night in a remote hotel, Mr. K is stuck in a claustrophobic nightmare when he discovers that he can't leave the building."
Mufasa: The Lion King,"musical, animation, family, adventure, drama",6.6,72K,1h 58m,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
Murder Company,war,3.6,1.6K,1h 26m,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French resistance behind enemy lines to assassinate a high-value Nazi target."
Music by John Williams,"music, biography, documentary",8.2,5.1K,1h 45m,Follows the life of legendary composer John Williams.
My Annoying Brother,sport,7.4,296,1h 54m,"A now-blind athlete must rely on his estranged brother, who may have just used him as an excuse to get himself out of jail. The two were never close, but the brothers soon realized a connection they couldn't always see."
My Dead Friend Zoe,war,6.5,2.8K,1h 43m,"Engaged in a mysterious relationship with her dead best friend from the Army, a female Afghanistan veteran comes head to head with her Vietnam vet grandfather at the family's ancestral lake house."
My Favourite Cake,romance,7.4,7.9K,1h 37m,"Seventy-year-old Mahin, solitary until now, chooses to revive her love life. A chance encounter becomes an unforgettable evening."
My Old Ass,"romance, comedy",6.9,42K,1h 29m,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
My Oni Girl,family,6.0,1.9K,1h 52m,A high school student's life takes an unexpected turn when he meets an oni (demon) girl on a quest in the human world.
My Partner,documentary,4.4,31,1h 37m,Three couples explore polyamory with guidance from mentors and experts. A filmmaker documents their intimate journey of desires and uncertainties over several years without judgment.
My Penguin Friend,family,6.8,5.8K,1h 37m,"Inspired by a true story; an enchanting adventure about a lost penguin rescued from an oil spill, who transforms the life of a heartbroken fisherman. They soon become unlikely friends, so bonded that even the vast ocean cannot divide them."
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,western,5.3,12,1h 14m,Crazy Asians collide with a bunch of Insane Rednecks who move into an Hollywood Hillside to set up
"My Wife, My Abuser: The Secret Footage",documentary,7.1,868,,"Exposes the disturbing story of Richard Spencer's harrowing experience as he endured two decades of abuse at the hands of his wife, Sheree Spencer."
Myall Creek Day of Justice,western,6.4,17,1h 18m,Based on the story of late 1830's colonial Australia where an unspeakable crime against First Nations people caused an upheaval between law and order.
Música,music,6.4,5.1K,1h 31m,"A coming-of-age love story that follows an aspiring creator with synesthesia, who must come to terms with an uncertain future, while navigating the pressures of love, family, and his Brazilian culture in Newark, New Jersey."
National Theatre Live: Dear England,talk-show,8.2,144,3h 11m,"With the worst track record for penalties in the world, Gareth Southgate knows he needs to open his mind and face up to the years of hurt, to take team and country back to the promised land."
Never Let Go,horror,5.4,16K,1h 41m,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.
Night Swim,"horror, mystery",4.7,28K,1h 38m,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool."
Night of the Zoopocalypse,"fantasy, family, animation",6.0,962,1h 31m,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.
Nightbitch,horror,5.5,21K,1h 39m,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
No Chains No Masters,history,6.3,669,1h 38m,"Massamba and his daughter Mati, slaves on Eugène Larcenet's plantation, hatch a daring plan to escape slavery, braving numerous obstacles in their pursuit of freedom."
No Other Land,"news, documentary",8.3,14K,1h 32m,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
No Way Up,adventure,4.6,11K,1h 30m,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
Noah's Ark,musical,4.3,706,1h 36m,Tom and Vini are two bohemian mice who stow away on Noah's Ark. They must use their musical talents to enter a competition and help maintain peace among the animals.
Nobu,documentary,9.0,10,1h 50m,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy."
Nosferatu,"fantasy, horror, mystery",7.2,214K,2h 12m,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Nova & Alice,music,6.1,358,1h 50m,Nova and Alice are two contrasting artists who are reluctantly forced to go on a joint tour by their manager. The clash is inevitable - both musically and personally.
Nr. 24,"biography, war",7.5,16K,1h 51m,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero."
Oddity,"horror, thriller",6.7,47K,1h 38m,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
Off the Record,music,7.9,148,1h 35m,"LA musician Astor Grey seems to have it all - true love, a big break, and a hot rock star boyfriend - but in the cutthroat music industry, success and love come at a cost, and nothing is as perfect as it seems."
Old Guy,crime,5.2,3.3K,1h 34m,"Follows a contract killer facing the end of his career who is thrilled when The Company pulls him back into the field training Gen Z newcomer Wihlborg, a prodigy assassin with an attitude."
On Becoming a Guinea Fowl,"comedy, drama",7.0,1.3K,1h 39m,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family."
On Swift Horses,romance,6.0,2.6K,1h 59m,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
Once Upon a Time in Amityville,western,3.8,54,1h 13m,The origins of the Amityville legend are explored in an old settlement town.
One to One: John & Yoko,"biography, documentary",7.3,687,1h 41m,"Set in 1972 New York, this documentary explores John and Yoko's world amid a turbulent era. Centered on the One to One charity concert for special needs children, it features unseen archives, home movies, and restored footage."
Ordinary Angels,biography,7.4,16K,1h 58m,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
Orion and the Dark,"fantasy, family, mystery, adventure, animation",6.3,18K,1h 33m,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark."
Outbreak,"horror, mystery",4.4,1.3K,1h 28m,"A Psychological Thriller about a state park ranger husband and his wife struggling to come to terms with their missing teenage son while dealing with a local mystery that questions their relationship and in the end, their grip on reality."
Outlaw Posse,western,4.3,547,1h 48m,"In 1908, an outlaw returns from years of hiding in Mexico to claim stolen gold hidden in the hills of Montana."
Over the Red River,western,3.6,96,1h 23m,"Follows a tenacious young widow who braves the perilous desert to free her kidnapped sister and wreak vengeance on the outlaws who murdered her husband, while also crossing paths with an ex-member of the same gang that ruined her life."
Oxana,biography,6.4,88,1h 43m,"23 July 2018. An important date for ex-FEMEN leader Oxana Chatchko: the opening of her exhibition of blasphemous icons. Thus begins a day of wandering through Paris. Amid meetings with lovers and an art critic, and an appointment to confirm her political refugee status, memories of her past as a feminist activist, and the traumas and betrayals she suffered during her struggle, resurface. Can she rekindle her desire to live?"
Paddington in Peru,"comedy, family, mystery, adventure, animation",6.7,26K,1h 46m,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
Panda Plan,family,5.1,1.6K,1h 39m,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.
Paradise,western,6.9,83,1h 23m,"When corrupt officials cover up the murder of Ella's father, she cuts a swath through the anachronistic underbelly of her small island town."
Parthenope,"fantasy, drama",6.6,15K,2h 17m,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
Pattaapakal,musical,2.6,229,1h 44m,"A string of incidents intertwines two friends, a minister, a gangster, and four small-time criminals."
Pavements,"music, biography, documentary",7.2,408,2h 8m,"Documentary about the American indie band Pavement, which combines scripts with documentary images of the band and a musical mise-en-scene composed of songs from their discography."
Pedro Páramo,"fantasy, western",6.3,3.1K,2h 10m,"Follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires and memories, a world of ghosts dominated by the figure of Pedro Páramo, lover, overlord, murderer."
Petta Rap,musical,4.0,1.7K,2h 3m,"""PETTA RAP"" tells the love journey of BALA (a middle class man whose ambition is to become the best action hero of Tamil movies.) and JANAKI (a local girl, who becomes a Pop Singer.)"
Piece by Piece,"family, biography, musical, animation",6.9,6.3K,1h 33m,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation."
Please Don't Feed the Children,"horror, thriller",4.8,462,1h 34m,"A gang of orphans travels to the south in quest of a new life after a viral outbreak decimates the adult population of the nation, only to find themselves at the mercy of a psychotic woman who is hiding a perilous secret."
Polvo serán,musical,6.7,310,1h 46m,"After receiving the diagnosis of an incurable brain tumor, Claudia decides to undertake her last trip to Switzerland. There she can decide how and when to end her life thanks to the help of an assisted suicide association."
Presence,"horror, thriller, drama",6.1,30K,1h 24m,A family becomes convinced they are not alone after moving into their new home in the suburbs.
Private Tutor,romance,4.8,237,1h 5m,"Joy, a struggling teacher, tutors Erica. Erica's wealthy widower father Gordon and Erica develop feelings for Joy, who is dissatisfied with her partner Vigo's lack of support."
Pune Highway,"thriller, drama",5.1,171,2h 1m,"Three friends who have grown up together in the same building in Mumbai are affected, in different ways, by a dead body found 200 kms away in a lake. As they fight for their friendship, they can't escape the ugly truth racing towards them"
Pushpa: The Rule - Part 2,crime,6.1,59K,3h 21m,"A smuggling kingpin faces off against a vengeful rival while manipulating politics, making big deals, and navigating tense confrontations. A public apology leads to a dramatic showdown, ending with challenge."
Queen Rock Montreal,music,8.5,814,1h 35m,"The iconic rock band Queen performs their best hits like ""We Will Rock You, "" ""Somebody To Love, "" and ""Bohemian Rhapsody"" in an unforgettable live concert."
Queen of the Ring,"biography, sport",6.3,2.2K,2h 9m,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates a peculiar American niche entertainment industry & becomes the first millionaire female athlete."
Queens of Drama,musical,6.2,221,1h 54m,"Pop diva Mimi Madamour's career peaks in 2005 before spiraling downwards due to her tumultuous love affair with punk icon Billie Kohler, their passionate and rage-fueled relationship playing out on stage for half a century."
Queer,"romance, history, biography",6.4,24K,2h 17m,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
Quisling: The Final Days,war,7.1,1.3K,2h 26m,Five years of occupation during WW2 ends in Norway. Vidkun Quisling is in prison for treason and is to be held accountable for his actions. Can a priest help him find peace of mind? Can the traitor with big thoughts about himself repent?
Race for Glory: Audi vs. Lancia,"biography, sport",5.8,5.1K,1h 49m,"A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage."
Reagan,"history, biography",6.1,12K,2h 21m,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office."
Rebel Moon - Part Two: The Scargiver,"fantasy, sci-fi, adventure",5.3,60K,2h 2m,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
Rebel Ridge,"action, crime, thriller, drama",6.8,92K,2h 11m,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Red One,"comedy, fantasy, action, mystery, adventure",6.3,143K,2h 3m,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
Relay,"action, thriller",7.3,141,1h 52m,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.
Return of the King: The Fall and Rise of Elvis Presley,music,7.6,2K,1h 30m,He had one chance to show the world he was still the King of Rock 'n' Roll. Discover the story behind Elvis Presley's triumphant '68 comeback special.
Rez Ball,sport,6.3,2.6K,1h 51m,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive."
Rich Flu,sci-fi,5.1,6.5K,1h 56m,Explores how far people would go to save themselves when the wealth that made the world go round then becomes its most dangerous commodity after a strange disease threatens to kill anyone with any sort of fortune.
Ricky Stanicky,comedy,6.2,58K,1h 53m,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
Riff Raff,"crime, comedy",5.6,4.5K,1h 43m,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.
Road House,"action, thriller, drama",6.2,171K,2h 1m,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Rob Peace,biography,6.5,2.3K,2h,"Based on a true story, a brilliant young man puts his bright future at risk to help his father."
Robin and the Hoods,family,4.3,543,1h 40m,"For the tenacious 11-year-old Robin and her loyal band of friends 'The Hoods', the patch of overgrown scrubland at the end of their cul-de-sac is a magical kingdom."
Rock Bottom,music,6.2,58,1h 26m,"Through Robert Wyatt's music, the animated musical Rock Bottom plunges into the passionate self-destructive love story of Bob and Alif, two young artists immersed in the creative whirlwind of the early 70s' hippie culture."
Role Play,"action, romance, comedy",5.5,19K,1h 40m,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
Rust,western,5.4,2.8K,2h 19m,An orphaned boy of 13 left to fend for himself and his younger brother in 1880s Wyoming is sentenced to hang for the accidental killing of a local rancher. His estranged grandfather breaks him out of jail and they go on the run to Mexico.
SUGA: Agust D Tour 'D-DAY' the Movie,music,8.2,1.2K,1h 24m,"A film of the encore concert by Agust D, also known as SUGA of BTS. Tune in to relive the moments from the concert encompassing his rich musical world and performances, explosive energy, and joint performance."
Saint Clare,"horror, mystery",7.0,122,1h 32m,"In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond."
Saint-Exupéry,"history, biography",5.4,564,1h 38m,"When Airmail's best pilot Henri Guillaumet disappears in the Andes, his best friend Antoine de Saint-Exupéry decides to set out in search of him against all odds."
Salem's Lot,"horror, thriller",5.6,36K,1h 54m,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
Same Old West,western,7.7,347,1h 38m,"In the backlands of Goiás, two brutal men, after being abandoned by the same woman, turn violently against each other."
Santosh,crime,7.1,2.5K,2h 8m,"Newly widowed Santosh inherits her husband's job as a police constable in the rural badlands of Northern India. When a girl's body is found, she's pulled into the investigation under the wing of charismatic feminist inspector Sharma."
Saturday Night,"history, biography, comedy",6.9,33K,1h 49m,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
Saving Bikini Bottom: The Sandy Cheeks Movie,"family, animation",3.7,4.1K,1h 22m,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town."
Scoop,biography,6.5,21K,1h 42m,"An insider account of how BBC Newsnight obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender, Jeffrey Epstein."
Searching for the Elephant,western,5.8,36,1h 56m,"Recovering addict Jason, on parole, reunites with estranged veteran grandfather Griff at a ranch. Amidst their strained relationship, they face threats from adversaries demanding debt repayment."
Secret Mall Apartment,documentary,7.3,551,1h 31m,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved."
Sector 36,crime,7.1,26K,2h 3m,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold."
September 5,history,7.1,27K,1h 35m,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
Seven Cemeteries,western,4.6,669,1h 24m,A recent parolee (Danny Trejo) gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.
Shannon Matthews the Musical the Movie,musical,7.5,209,1h 31m,"In this true-crime bad taste comedy singalong, Mother-from-hell Karen Matthews revels in her newfound fame, while everyone else searches for her missing daughter, little Shannon Matthews, aged 9."
Sharp Corner,thriller,5.9,1.9K,1h 50m,A dedicated family man becomes obsessed with saving the lives of the car accident victims on the sharp corner in front of his house - an obsession that could cost him everything.
Shirley,"history, biography",6.2,3.4K,1h 57m,Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.
Singing in My Sleep,music,5.4,111,1h 32m,A brilliant teenage songwriter is stuck living in the shadow of her deceased Dad's music legacy when the 20-year anniversary of his debut album forces her to face his abandonment.
Sister Midnight,"comedy, drama",5.9,1.3K,1h 47m,A genre-bending comedy about a frustrated and misanthropic newlywed who discovers certain feral impulses that land her in unlikely situations.
Sixty Minutes,sport,5.7,5.3K,1h 28m,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party."
Sketch,"fantasy, comedy, adventure",8.2,80,1h 32m,"When a young girl's sketchbook falls into a strange pond, her drawings come to life-chaotic, real and on the loose. As the towns descends into chaos, her family must reunite and stop the monsters they never meant to unleash."
Skincare,mystery,5.7,5K,1h 36m,"Famed aesthetician Hope Goldman's skincare business faces sabotage when rival Angel Vergara opens a boutique across the street. Aided by friend Jordan, Hope seeks to uncover who's trying to ruin her reputation."
Sleeping Dogs,"crime, mystery",6.2,23K,1h 50m,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past."
Slingshot,"sci-fi, mystery",5.7,10K,1h 48m,"An astronaut struggles to maintain his grip on reality aboard a possibly fatally compromised mission to Saturn's moon, Titan."
Small Things Like These,"history, drama",6.7,28K,1h 38m,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
Smile 2,"horror, mystery, thriller",6.7,115K,2h 7m,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past."
Snack Shack,comedy,7.0,14K,1h 52m,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
Solo Leveling: ReAwakening,"fantasy, adventure, animation",8.8,14K,2h 1m,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate."
Someone Like You,romance,5.9,2.3K,1h 58m,"After the tragic loss of his best friend, a grieving young architect launches a search for her secret twin sister."
Something to Stand for with Mike Rowe,history,8.5,304,1h 36m,"Join America's favorite storyteller on an epic journey to the heart of Washington DC. This cinematic tour de force will take viewers to the frontlines of the American Revolution, World War II, the Civil Rights movement, and more."
Sonic the Hedgehog 3,"sci-fi, comedy, fantasy, action, family, adventure",6.9,66K,1h 50m,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
Soundtrack to a Coup d'Etat,"music, documentary",7.8,3.2K,2h 30m,Jazz and decolonization are entwined in this historical rollercoaster that rewrites the Cold War episode that led musicians Abbey Lincoln and Max Roach to crash the UN Security Council in protest against the murder of Patrice Lumumba.
Spaceman,"romance, sci-fi, adventure",5.7,44K,1h 47m,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
Speak No Evil,"horror, thriller, drama",6.8,112K,1h 50m,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
Spellbound,"musical, fantasy, family, adventure, animation",5.5,8K,1h 49m,"Ellian is a tenacious princess who must go on a daring quest to save her family and kingdom after a mysterious spell transforms her parents, the King and Queen of Lumbria, into monsters."
Spermageddon,"musical, animation",5.5,1.2K,1h 20m,"Two narrative threads - one is an emerging love story between two awkward teens, John and Lisa, who are having sex for the first time and the other is an eventful quest of Simon the Semen and his friends to reach the golden goal, the Egg."
Srikanth,biography,7.4,14K,2h 14m,"Blind Srikanth gets into MIT, founds Bollant Industries. Pursues goals for visually impaired while facing entrepreneurial challenges, navigating personal sacrifices. Highlights obstacles overcome by the blind in academics and business."
Stand Your Ground,"action, crime, thriller",4.6,397,1h 39m,"Former Special Forces operative, Jack Johnson, uses the Stand Your Ground law to seek vengeance for his wife's murder, igniting a brutal war against a local crime lord's family and ending in an explosive showdown."
Standing on the Shoulders of Kitties,music,6.2,673,1h 51m,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
Sting,sci-fi,5.7,17K,1h 31m,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the facts about her pet-and fight for her family's survival-when the once-charming creature rapidly transforms into a giant, flesh-eating monster."
Subservience,"sci-fi, thriller",5.4,30K,1h 46m,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly."
Sugarcane,documentary,7.0,3.5K,1h 47m,An investigation into abuse and missing children at an Indian residential school sparks a reckoning on the nearby Sugarcane Reserve.
Sunshine,sport,7.0,76,1h 31m,"It follows a young gymnast who discovers she is pregnant on the week of the national team tryouts. On her way to a seller of illegal abortion drugs, she meets a mysterious girl who eerily talks and thinks like her."
Super-Charlie,family,5.8,177,1h 22m,"Willie's dream of fighting crime with his cop dad is shattered when his baby brother Charlie arrives. Besides stealing all the attention, Charlie turns out to have actual superpowers."
Super/Man: The Christopher Reeve Story,"biography, documentary",8.0,9.8K,1h 44m,"Reeve's rise to becoming a film star follows with a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After the accident, he became an activist for spinal cord injury treatments and disability rights."
Survive,"sci-fi, adventure",4.6,3.3K,1h 30m,A couple celebrates their son's birthday in the middle of the ocean on their boat . A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
Swamp Dogg Gets His Pool Painted,"music, documentary",8.3,93,1h 35m,"Cult musician Swamp Dogg and housemates Moogstar and Guitar Shorty have turned their suburban LA home into an artistic haven. They journey through the turbulent music business, forming a special friendship transcending eras."
Sweet Dreams,sport,5.4,1.5K,1h 35m,"Follows Morris, who must coach a misfit softball team of his fellow housemates during his mandatory stay at Sweet Dreams sober living in order to get his life back on track."
Taken from Rio Bravo,western,3.0,333,1h 20m,"In 1874 Texas, two friends and an Indian scout rescue kidnapped women from sadistic traffickers near the Mexican border."
Tarot,horror,4.8,33K,1h 32m,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
Tears of Cem Karaca,music,7.2,2.2K,2h 3m,"It tells the life story of Cem Karaca, the legendary name of Anatolian rock music, who has created many works."
Terrifier 3,horror,6.3,52K,2h 5m,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
Thangalaan,history,6.5,6.8K,2h 36m,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka."
That Christmas,"fantasy, family, animation",6.8,17K,1h 31m,"It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans, including Santa's."
The American Society of Magical Negroes,fantasy,3.8,12K,1h 44m,A young man is recruited into a secret society of magical black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.
The Apprentice,"history, biography, drama",7.1,61K,2h 2m,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
The Assessment,"sci-fi, drama",6.6,12K,1h 54m,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare."
