title,genre,rating,voting,duration,storyline
Bardejov,war,4.7,182,1h 25m,"The story of small town Jewish leader Rafuel Lowy, who found an ingenious way to save Bardejov's Jewish population from being sent to Auschwitz during World War Two."
Barron's Cove,crime,6.1,191,1h 56m,"After his son is tragically killed, a grieving father with a history of violence kidnaps the child responsible, igniting a frenzied manhunt fueled by a powerful politician, the father of the kidnapped boy."
Battlefield,war,6.2,713,1h 44m,"In WWI, Dr. Stefano Zorzi works at a clinic, treating soldiers' wounds and cases of self-injury to avoid combat.Dr. Giulio, who helps soldiers, becomes a silent competition that also involves nurse Anna. The Spanish flu strikes the city."
Bau: Artist at War,war,7.2,65,2h 10m,"The inspiring love story of Joseph Bau, artist, forger, holocaust survivor. Using his artistic skills, humor and hope in the camps, Joseph stays alive and helps hundreds to escape. Miraculously, he finds love in the midst of despair."
Beating Hearts,crime,7.0,6.1K,2h 46m,"Local rebellious teenager Clotaire falls for his schoolmate Jackie, but gang violence leads him to a darker destructive path. After years apart, the star-crossed lovers discover that every path they've taken leads them back together."
Beatles '64,music,7.2,2.7K,1h 46m,"Captures the band's electrifying 1964 US debut amid fan frenzy. With rare behind-the-scenes footage, it chronicles their unprecedented rise to global superstardom after performing on The Ed Sullivan Show to over 73 million viewers."
Becoming Madonna,music,6.8,377,1h 31m,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
Beetlejuice Beetlejuice,"fantasy, horror, comedy",6.6,156K,1h 45m,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
Beezel,horror,4.9,1.6K,1h 21m,"Over 60 years, three guests of a cursed home discover an eternal witch who lives beneath it with an insatiable thirst for living souls."
Before Dawn,war,5.4,1.1K,1h 41m,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
Before We Forget,romance,7.5,144,1h 48m,"An Argentinian filmmaker struggling to finish a movie about his unrequited first love receives an unexpected invitation to reconstruct his memories, revisit his past and perhaps even find a new ending to his story."
Behind the Lines,documentary,9.1,26,1h 47m,"Based on Andrew Carroll's New York Times bestselling book of the same name, Behind the Lines is an award-winning documentary about a passionate historian who travels the world to find and preserve letters written during times of war."
Being Maria,history,6.1,803,1h 40m,"Maria Schneider's rise to fame after ""Last Tango in Paris"" and its controversial production's impact on her life and career."
Beta Squad vs AMP Charity Match 2024,reality-tv,7.3,9,3h 30m,UK based Beta Squad square off against America's talent to finally find out if its Football or Soccer.
Better Man,"fantasy, music, biography, musical",7.6,33K,2h 15m,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
Beverly Hills Cop: Axel F,crime,6.4,83K,1h 58m,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
Beyond the Gaze: Jule Campbell's Swimsuit Issue,documentary,8.9,11,1h 47m,"Jule Campbell's 32-year reign as editor of Sports Illustrated's Swimsuit Issue, transforming it into a media empire. Exploring changing beauty standards, feminism's evolution, and interviews with Campbell and supermodels she championed."
Bibi Rajni,"history, family",8.5,745,2h 23m,"A true event-based thought, who always had faith in Waheguru (God). The Masterpiece, which is designed for people of all ages, is a complete family watch for those wanting to learn and know about Sikhism heritage. Plot by: Tejpal Pataria"
Big City Greens the Movie: Spacecation,family,6.2,591,1h 23m,"After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space."
Big World,family,7.3,1.5K,2h 11m,"Liu Chunhe, a young man with cerebral palsy, overcomes physical and mental barriers while fulfilling his grandmother's dream and discovering his life's purpose, leading to transformation and a fresh start."
Bionic,sport,4.3,1.8K,1h 50m,"When the progress of robotics makes Paralympic athletes the new sports stars, Maria dreams of competing against her sister. For that, she will have to enter a world of crime and violence."
Bir Cumhuriyet Sarkisi,history,7.4,1.4K,2h 8m,"In 1930s Turkey, a handful of young, talented and determined people strive to realize an artistic revolution in a fledgling country."
Bitter Gold,western,8.0,59,1h 23m,"Pacífico's injury thrusts his daughter Carola into leading his mining crew, navigating greed, misogyny, and threats while trying to secure their future."
Black Box Diaries,documentary,7.5,3.8K,1h 42m,"Journalist Shiori Ito investigates her own sexual assault, seeking to prosecute the high-profile offender. Her quest becomes a landmark case, exposing Japan's outdated judicial and societal systems."
Blink Twice,"mystery, thriller",6.5,112K,1h 42m,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
Blitz,"history, war",6.2,17K,2h,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
Block Pass,sport,7.0,485,1h 44m,"Willy and Jojo are childhood friends who never leave each other's side. To beat boredom, they train at the Pampa, a motocross track. One evening, Willy discovers Jojo's secret."
Blue Lock: Episode Nagi,sport,6.6,2.7K,1h 31m,Seishiro Nagi before he enters the titular Blue Lock facility.
Blur: Live at Wembley Stadium,music,8.1,98,2h 8m,"Follows the concert of the band's 2023 show which was played for 150,000 fans."
Blur: To the End,"history, music, biography, documentary",7.2,764,1h 44m,"Blur's recent reunion, captured across a year in which they made a surprise return with their first record in 8 years."
Bo Nan Za,western,9.1,29,1h 1m,"A string of solitary figures grope their way through the sun-drenched wilderness. Misguided by hopes and driven by shadows, they silently fall into a creeping dependency. Some of these spectral characters coexist in a ""nowadays"" world of different limits. Embarking on a day and night quest through the desolate streets, they end up caught in a bizarre procession of personal rituals. Meanwhile, a dignified urban drifter explores and remaps the common roads of the sleeping city. The highs and lows of urban life might ultimately be transcended. A change of roles is about to come."
Bob Marley: One Love,"music, biography",6.2,35K,1h 47m,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
